Year,Age,Female,Male,Total
2016-2018,0,0.00042,0.00111,0.000862773
2016-2018,1,0.00042,0.00111,0.000862773
2016-2018,2,0.00042,0.00111,0.000862773
2016-2018,3,0.00042,0.00111,0.000862773
2016-2018,4,0.00042,0.00111,0.000862773
2016-2018,5,0.00042,0.00111,0.000862773
2016-2018,6,0.00042,0.00111,0.000862773
2016-2018,7,0.00042,0.00111,0.000862773
2016-2018,8,0.00042,0.00111,0.000862773
2016-2018,9,0.00042,0.00111,0.000862773
2016-2018,10,0.00042,0.00111,0.000862773
2016-2018,11,0.00042,0.00111,0.000862773
2016-2018,12,0.00042,0.00111,0.000862773
2016-2018,13,0.00042,0.00111,0.000862773
2016-2018,14,0.00042,0.00111,0.000862773
2016-2018,15,0.00042,0.00111,0.000862773
2016-2018,16,0.00042,0.00111,0.000862773
2016-2018,17,0.00042,0.00111,0.000862773
2016-2018,18,0.00042,0.00111,0.000862773
2016-2018,19,0.00042,0.00111,0.000862773
2016-2018,20,0.00042,0.00111,0.000862773
2016-2018,21,0.00042,0.00111,0.000862773
2016-2018,22,0.00042,0.00111,0.000862773
2016-2018,23,0.00042,0.00111,0.000862773
2016-2018,24,0.00042,0.00111,0.000862773
2016-2018,25,0.00042,0.00111,0.000862773
2016-2018,26,0.00042,0.00111,0.000862773
2016-2018,27,0.00042,0.00111,0.000862773
2016-2018,28,0.00042,0.00111,0.000862773
2016-2018,29,0.00042,0.00111,0.000862773
2016-2018,30,0.00055,0.00118,0.000954271
2016-2018,31,0.00055,0.00118,0.000954271
2016-2018,32,0.00055,0.00118,0.000954271
2016-2018,33,0.00055,0.00118,0.000954271
2016-2018,34,0.00055,0.00118,0.000954271
2016-2018,35,0.0008,0.00158,0.001300526
2016-2018,36,0.0008,0.00158,0.001300526
2016-2018,37,0.0008,0.00158,0.001300526
2016-2018,38,0.0008,0.00158,0.001300526
2016-2018,39,0.0008,0.00158,0.001300526
2016-2018,40,0.0014,0.00241,0.002048117
2016-2018,41,0.0014,0.00241,0.002048117
2016-2018,42,0.0014,0.00241,0.002048117
2016-2018,43,0.0014,0.00241,0.002048117
2016-2018,44,0.0014,0.00241,0.002048117
2016-2018,45,0.00229,0.0038,0.003258967
2016-2018,46,0.00229,0.0038,0.003258967
2016-2018,47,0.00229,0.0038,0.003258967
2016-2018,48,0.00229,0.0038,0.003258967
2016-2018,49,0.00229,0.0038,0.003258967
2016-2018,50,0.00337,0.00568,0.004852327
2016-2018,51,0.00337,0.00568,0.004852327
2016-2018,52,0.00337,0.00568,0.004852327
2016-2018,53,0.00337,0.00568,0.004852327
2016-2018,54,0.00337,0.00568,0.004852327
2016-2018,55,0.00487,0.00794,0.006840019
2016-2018,56,0.00487,0.00794,0.006840019
2016-2018,57,0.00487,0.00794,0.006840019
2016-2018,58,0.00487,0.00794,0.006840019
2016-2018,59,0.00487,0.00794,0.006840019
2016-2018,60,0.00749,0.01162,0.010140221
2016-2018,61,0.00749,0.01162,0.010140221
2016-2018,62,0.00749,0.01162,0.010140221
2016-2018,63,0.00749,0.01162,0.010140221
2016-2018,64,0.00749,0.01162,0.010140221
2016-2018,65,0.0117,0.01724,0.015255018
2016-2018,66,0.0117,0.01724,0.015255018
2016-2018,67,0.0117,0.01724,0.015255018
2016-2018,68,0.0117,0.01724,0.015255018
2016-2018,69,0.0117,0.01724,0.015255018
2016-2018,70,0.01901,0.02723,0.024284774
2016-2018,71,0.01901,0.02723,0.024284774
2016-2018,72,0.01901,0.02723,0.024284774
2016-2018,73,0.01901,0.02723,0.024284774
2016-2018,74,0.01901,0.02723,0.024284774
2016-2018,75,0.03049,0.04365,0.038934772
2016-2018,76,0.03049,0.04365,0.038934772
2016-2018,77,0.03049,0.04365,0.038934772
2016-2018,78,0.03049,0.04365,0.038934772
2016-2018,79,0.03049,0.04365,0.038934772
2016-2018,80,0.05283,0.06884,0.063103617
2016-2018,81,0.05283,0.06884,0.063103617
2016-2018,82,0.05283,0.06884,0.063103617
2016-2018,83,0.05283,0.06884,0.063103617
2016-2018,84,0.05283,0.06884,0.063103617
2016-2018,85,0.11506,0.12834,0.123581776
2016-2018,86,0.11506,0.12834,0.123581776
2016-2018,87,0.11506,0.12834,0.123581776
2016-2018,88,0.11506,0.12834,0.123581776
2016-2018,89,0.11506,0.12834,0.123581776
2016-2018,90,0.11506,0.12834,0.123581776
2016-2018,91,0.11506,0.12834,0.123581776
2016-2018,92,0.11506,0.12834,0.123581776
2016-2018,93,0.11506,0.12834,0.123581776
2016-2018,94,0.11506,0.12834,0.123581776
2016-2018,95,0.11506,0.12834,0.123581776
2016-2018,96,0.11506,0.12834,0.123581776
2016-2018,97,0.11506,0.12834,0.123581776
2016-2018,98,0.11506,0.12834,0.123581776
2016-2018,99,0.11506,0.12834,0.123581776
2016-2018,100,0.11506,0.12834,0.123581776
2016-2018,101,0.11506,0.12834,0.123581776
2016-2018,102,0.11506,0.12834,0.123581776
2016-2018,103,0.11506,0.12834,0.123581776
2016-2018,104,0.11506,0.12834,0.123581776
2016-2018,105,0.11506,0.12834,0.123581776
2016-2018,106,0.11506,0.12834,0.123581776
2016-2018,107,0.11506,0.12834,0.123581776
2016-2018,108,0.11506,0.12834,0.123581776
2016-2018,109,0.11506,0.12834,0.123581776
